dt,time_hr,place,price_actual
1/25/2022,6,germany,279.96
1/25/2022,7,germany,356.24
1/25/2022,8,germany,399.85
1/25/2022,9,germany,399.01
1/25/2022,10,germany,360
1/25/2022,11,germany,347.4
1/25/2022,12,germany,328.92
1/25/2022,13,germany,305
1/25/2022,14,germany,310
1/25/2022,15,germany,313
1/25/2022,16,germany,318.67
1/25/2022,17,germany,366.43
1/25/2022,18,germany,399.06
1/25/2022,19,germany,373.75
1/25/2022,20,germany,309.68
1/25/2022,21,germany,265
1/25/2022,22,germany,240.89
1/25/2022,23,germany,215.17
1/26/2022,0,germany,209.57
1/26/2022,1,germany,212.36
1/26/2022,2,germany,215.41
1/26/2022,3,germany,209.89
1/26/2022,4,germany,209.14
1/26/2022,5,germany,215.09
1/26/2022,6,germany,240.16
1/26/2022,7,germany,294.88
1/26/2022,8,germany,312.32
1/26/2022,9,germany,312.69
1/26/2022,10,germany,300.02
1/26/2022,11,germany,282.65
1/26/2022,12,germany,259.68
1/26/2022,13,germany,241.54
1/26/2022,14,germany,238.24
1/26/2022,15,germany,236.76
1/26/2022,16,germany,240.11
1/26/2022,17,germany,268.08
1/26/2022,18,germany,262.46
1/26/2022,19,germany,224.45
1/26/2022,20,germany,217.43
1/26/2022,21,germany,171.34
1/26/2022,22,germany,142.94
1/26/2022,23,germany,122.34
1/27/2022,0,germany,131.59
1/27/2022,1,germany,115.02
1/27/2022,2,germany,108.65
1/27/2022,3,germany,100.94
1/27/2022,4,germany,103.06
1/27/2022,5,germany,110.03
1/27/2022,6,germany,104.03
1/27/2022,7,germany,138.79
1/27/2022,8,germany,138.23
1/27/2022,9,germany,128.79
1/27/2022,10,germany,128.74
1/27/2022,11,germany,127.8
1/27/2022,12,germany,126.24
1/27/2022,13,germany,135.78
1/27/2022,14,germany,139.66
1/27/2022,15,germany,138.69
1/27/2022,16,germany,137.58
1/27/2022,17,germany,141.17
1/27/2022,18,germany,125.96
1/27/2022,19,germany,114.73
1/27/2022,20,germany,104.04
1/27/2022,21,germany,110.1
1/27/2022,22,germany,101.19
1/27/2022,23,germany,86.31
1/28/2022,0,germany,82.03
1/28/2022,1,germany,84.03
1/28/2022,2,germany,81.59
1/28/2022,3,germany,77.26
1/28/2022,4,germany,100.7
1/28/2022,5,germany,100.69
1/28/2022,6,germany,121.69
1/28/2022,7,germany,175.29
1/28/2022,8,germany,186.17
1/28/2022,9,germany,198.05
1/28/2022,10,germany,190.92
1/28/2022,11,germany,220.07
1/28/2022,12,germany,214.74
1/28/2022,13,germany,231.6
1/28/2022,14,germany,233.67
1/28/2022,15,germany,237.08
1/28/2022,16,germany,237.92
